Designator,Mid X,Mid Y,Rotation,Layer
C1,91.551799,-64.396602,0.0,top
C10,89.189601,-56.5226,0.0,top
C11,75.203201,-55.8584,0.0,top
C13,70.4788,-55.6298,90.0,top
C14,72.4154,-55.0964,0.0,top
C15,72.4154,-56.087,0.0,top
C16,80.5688,-51.7652,270.0,top
C18,91.5518,-66.022201,0.0,top
C2,72.4662,-53.7972,0.0,top
C3,75.4064,-59.1096,90.0,top
C4,69.4882,-55.2234,90.0,top
C5,68.2182,-54.4868,90.0,top
C6,73.2982,-64.6214,180.0,top
C7,73.3112,-66.297799,180.0,top
C8,67.0752,-59.5668,270.0,top
C9,88.8848,-57.818001,0.0,top
CN1,73.1774,-41.144,180.0,top
D2,85.9384,-65.031601,180.0,top
L1,83.9572,-60.231,270.0,top
L3,76.346201,-63.4546,270.0,top
Q1,87.2236,-51.2946,180.0,top
R10,78.486,-46.226001,90.0,top
R11,77.2541,-46.226001,90.0,top
R13,64.4398,-56.134,0.0,top
R14,64.4398,-57.2262,0.0,top
R3,90.738998,-59.646801,270.0,top
R4,91.270401,-62.923401,0.0,top
R5,91.2724,-61.729601,0.0,top
R7,82.1944,-49.3014,180.0,top
R8,79.5274,-51.7906,90.0,top
R9,76.0222,-46.226001,90.0,top
U1,71.3074,-60.1872,90.0,top
U2,83.1342,-51.282901,270.0,top
U3,88.3768,-60.2812,180.0,top
U4,69.9008,-49.8207,180.0,top
U5,86.2838,-42.976,0.0,top
U7,95.3516,-52.2478,270.0,top
USB1,63.3883,-49.8348,270.0,top
