project_id,requirement_id,requirement_title,family_id,event_count,ambiguous_count,defer_count,implementation_claim_count,introduce_count,modify_count,remove_count,resume_count,runtime_failure_count,runtime_verification_count
42204309,REQ_LANDING_PAGE_HERO,Landing-Page Hero,PROJECT_PRESENTATION,5,0,0,1,1,2,0,0,1,0
42204309,REQ_LANDING_PAGE_BOOK_COVER,Landing-Page Book Cover,PROJECT_PRESENTATION,10,0,0,1,1,4,0,0,3,1
42204309,REQ_FAQ_CONTENT,Project FAQ Content,PROJECT_PRESENTATION,5,0,0,1,1,3,0,0,0,0
42204309,REQ_NFT_MINT_OFFER,NFT Ebook Mint Offer,MINT_AND_PAYMENTS,6,0,0,2,1,1,0,0,1,1
42204309,REQ_WALLET_MINT_PAYMENTS,Wallet Mint Payment Methods,MINT_AND_PAYMENTS,30,1,0,5,1,4,0,1,12,6
42204309,REQ_FIAT_ONRAMP,Fiat On-Ramp,MINT_AND_PAYMENTS,14,1,2,0,1,6,0,3,1,0
42204309,REQ_MINT_REVENUE_SPLIT,Mint Revenue Distribution,MINT_AND_PAYMENTS,6,0,0,1,1,2,0,0,0,2
42204309,REQ_MINT_TIPPING,Mint-Page Tipping,MINT_AND_PAYMENTS,12,0,0,3,1,3,0,0,3,2
42204309,REQ_REFERRAL_CODE_IDENTITY,Referral Code Identity and Validation,REFERRAL_ENGINE,8,0,0,2,1,1,0,0,2,2
42204309,REQ_REFERRAL_COMMISSION,Referral Commission,REFERRAL_ENGINE,4,0,0,1,1,0,0,0,0,2
42204309,REQ_NO_REFERRAL_REWARD_ALLOCATION,No-Referral Reward Allocation,REFERRAL_ENGINE,20,2,0,5,1,3,0,1,6,2
42204309,REQ_PRIZE_TICKET_LIFECYCLE,Prize Ticket Lifecycle,PRIZE_MECHANICS,22,3,0,3,1,7,0,2,4,2
42204309,REQ_SMALL_BLOCK_PRIZE,Small Block Prize,PRIZE_MECHANICS,6,0,0,2,1,2,0,0,0,1
42204309,REQ_BIG_BLOCK_PRIZE,Big Block Prize,PRIZE_MECHANICS,8,0,0,3,1,3,1,0,0,0
42204309,REQ_CHAINLINK_VRF_RANDOMNESS,Chainlink VRF Randomness,PRIZE_MECHANICS,9,0,0,4,1,1,0,0,2,1
42204309,REQ_PRIZE_CLAIMING,Prize Claiming,PRIZE_MECHANICS,10,2,0,1,1,4,0,2,0,0
42204309,REQ_AAVE_PRIZE_POOL_YIELD,Aave Prize-Pool Yield,PRIZE_MECHANICS,3,1,0,0,1,0,1,0,0,0
42204309,REQ_SECONDARY_SALE_RULES,Secondary Sale Rules,NFT_AND_BOOK,5,0,0,2,1,2,0,0,0,0
42204309,REQ_NFT_METADATA,NFT Metadata,NFT_AND_BOOK,12,0,0,3,1,2,0,0,3,3
42204309,REQ_EBOOK_ACCESS_CONTROL,NFT-Gated Ebook Access,NFT_AND_BOOK,16,0,0,3,1,2,0,0,6,4
42204309,REQ_EBOOK_READER,Ebook Reader,NFT_AND_BOOK,7,0,0,2,1,0,0,0,3,1
42204309,REQ_MINT_CONFIRMATION_CERTIFICATE,Mint Confirmation Certificate,NFT_AND_BOOK,4,0,0,1,1,0,0,0,1,1
42204309,REQ_HYBRID_AUTHENTICATION,Hybrid Authentication,ACCESS_AND_EMAIL,5,0,0,1,1,0,0,0,1,2
42204309,REQ_TRANSACTIONAL_EMAIL,Transactional Email Service,ACCESS_AND_EMAIL,9,0,0,3,1,1,0,0,3,1
42204309,REQ_MINT_RECORDING_ACCURACY,Mint Recording and Supply Accuracy,PLATFORM_STATE_AND_UX,13,0,0,4,1,1,0,0,4,3
42204309,REQ_OWNED_NFT_DASHBOARD,Owned NFT Dashboard,PLATFORM_STATE_AND_UX,16,0,0,4,1,0,0,0,7,4
42204309,REQ_REWARD_DATA_ACCURACY,Reward Data Accuracy,PLATFORM_STATE_AND_UX,27,0,0,7,1,2,0,0,13,4
42204309,REQ_MINT_SUCCESS_FEEDBACK,Mint Success Feedback,PLATFORM_STATE_AND_UX,23,0,0,6,1,3,0,0,11,2
42204309,REQ_ACHIEVEMENT_BADGES,NFT Achievement Badges,PLATFORM_STATE_AND_UX,16,1,0,3,1,4,0,1,4,2
42204309,REQ_MOBILE_RESPONSIVE_LAYOUT,Mobile Responsive Layout,PLATFORM_STATE_AND_UX,4,0,0,2,1,0,0,0,1,0
42204309,REQ_PRODUCTION_SITE_AVAILABILITY,Production Site Availability,PLATFORM_STATE_AND_UX,5,0,0,2,1,0,0,0,1,1
42204309,REQ_DISCORD_COMMUNITY_SERVER,Discord Community Server,,6,0,0,2,1,1,0,0,1,1
42204309,REQ_END_TO_END_TESTING,End-to-End Production Testing,DELIVERY_AND_OPERATIONS,12,0,0,2,1,5,0,0,2,2
42204309,REQ_CONTRACT_MIGRATION_CONTINUITY,Contract Migration Continuity,DELIVERY_AND_OPERATIONS,7,0,0,3,1,1,0,0,2,0
42204309,REQ_SITE_TRUST_WARNING_RESOLUTION,Wallet Trust Warning Resolution,DELIVERY_AND_OPERATIONS,4,0,0,1,1,1,0,0,1,0
42204309,REQ_CLIENT_TEST_MINT_OWNERSHIP,Client Ownership of Reserved Test Mints,DELIVERY_AND_OPERATIONS,3,0,0,1,1,1,0,0,0,0
